Source,Target,weight,products,services,finances,content,hardware,interviewed
162,167,1,1,NA,NA,NA,NA,FALSE
163,167,1,NA,1,NA,NA,NA,FALSE
164,166,1,NA,1,NA,NA,NA,FALSE
165,167,1,NA,1,NA,NA,NA,FALSE
166,164,1,NA,NA,1,NA,NA,FALSE
166,167,1,NA,NA,1,NA,NA,FALSE
167,84,2,NA,2,NA,NA,NA,TRUE
167,94,1,NA,NA,1,NA,NA,TRUE
167,162,1,NA,1,NA,NA,NA,TRUE
167,163,1,NA,NA,1,NA,NA,TRUE
167,165,1,NA,1,NA,NA,NA,TRUE
167,166,1,NA,NA,1,NA,NA,TRUE
167,168,2,NA,2,NA,NA,NA,TRUE
168,167,1,NA,NA,1,NA,NA,FALSE
169,36,1,1,NA,NA,NA,NA,FALSE
170,36,1,NA,1,NA,NA,NA,FALSE
170,354,3,NA,3,NA,NA,NA,FALSE
171,36,1,1,NA,NA,NA,NA,FALSE
172,36,1,NA,1,NA,NA,NA,FALSE
173,36,1,1,NA,NA,NA,NA,FALSE
174,36,1,1,NA,NA,NA,NA,FALSE
175,36,1,1,NA,NA,NA,NA,FALSE
175,193,1,1,NA,NA,NA,NA,FALSE
175,223,2,2,NA,NA,NA,NA,FALSE
176,36,1,NA,NA,NA,1,NA,FALSE
177,36,1,NA,NA,1,NA,NA,FALSE
178,80,1,1,NA,NA,NA,NA,FALSE
179,82,2,2,NA,NA,NA,NA,FALSE
180,184,1,1,NA,NA,NA,NA,FALSE
181,184,1,1,NA,NA,NA,NA,FALSE
182,184,1,1,NA,NA,NA,NA,FALSE
183,184,1,NA,NA,NA,1,NA,FALSE
184,11,3,NA,NA,3,NA,NA,TRUE
184,182,1,NA,NA,1,NA,NA,TRUE
184,183,1,NA,NA,1,NA,NA,TRUE
184,185,1,NA,NA,1,NA,NA,TRUE
184,186,1,NA,1,NA,NA,NA,TRUE
185,63,1,NA,NA,1,NA,NA,FALSE
185,184,1,NA,1,NA,NA,NA,FALSE
186,184,1,NA,NA,1,NA,NA,FALSE
187,188,1,1,NA,NA,NA,NA,FALSE
188,11,3,NA,NA,3,NA,NA,TRUE
188,187,1,NA,NA,1,NA,NA,TRUE
188,189,1,NA,1,NA,NA,NA,TRUE
189,188,1,NA,NA,1,NA,NA,FALSE
189,190,1,NA,1,NA,NA,NA,FALSE
190,189,1,NA,NA,1,NA,NA,FALSE
191,193,1,1,NA,NA,NA,NA,FALSE
192,193,1,1,NA,NA,NA,NA,FALSE
193,11,3,NA,NA,3,NA,NA,TRUE
193,175,1,NA,NA,1,NA,NA,TRUE
193,191,1,NA,NA,1,NA,NA,TRUE
193,192,1,NA,NA,1,NA,NA,TRUE
193,194,1,NA,NA,1,NA,NA,TRUE
193,195,1,NA,1,NA,NA,NA,TRUE
194,193,1,NA,1,NA,NA,NA,FALSE
195,193,2,NA,NA,1,1,NA,FALSE
196,200,1,1,NA,NA,NA,NA,FALSE
197,200,1,1,NA,NA,NA,NA,FALSE
198,200,1,1,NA,NA,NA,NA,FALSE
199,200,1,1,NA,NA,NA,NA,FALSE
199,223,1,1,NA,NA,NA,NA,FALSE
200,3,2,NA,NA,2,NA,NA,TRUE
200,124,1,NA,NA,1,NA,NA,TRUE
